iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 01, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,145,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ISRG","INTUITIVE SURGICAL","Health Care","Equity","1,737,988,115.50","0.20","1,737,988,115.50","4,706,806.00","369.25","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER","Health Care","Equity","1,732,281,386.20","0.20","1,732,281,386.20","8,371,340.00","206.93","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE","Financials","Equity","1,712,681,661.70","0.20","1,712,681,661.70","7,765,855.00","220.54","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH","Health Care","Equity","1,654,995,099.20","0.19","1,654,995,099.20","16,956,917.00","97.60","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","1,633,860,650.00","0.19","1,633,860,650.00","3,844,378.00","425.00","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","1,623,890,767.10","0.19","1,623,890,767.10","4,793,915.00","338.74","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,607,754,269.00","0.18","1,607,754,269.00","15,146,060.00","106.15","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,595,222,034.55","0.18","1,595,222,034.55","1,675,495.00","952.09","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,570,417,957.68","0.18","1,570,417,957.68","17,062,342.00","92.04","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,543,938,903.72","0.18","1,543,938,903.72","22,192,596.00","69.57","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,536,747,093.12","0.18","1,536,747,093.12","5,371,739.00","286.08","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,534,656,592.49","0.18","1,534,656,592.49","8,159,161.00","188.09","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING","Information Technology","Equity","1,515,008,276.16","0.17","1,515,008,276.16","10,408,136.00","145.56","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,505,947,356.79","0.17","1,505,947,356.79","5,312,171.00","283.49","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,489,038,566.60","0.17","1,489,038,566.60","7,443,332.00","200.05","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM","Energy","Equity","1,486,013,190.00","0.17","1,486,013,190.00","3,879,930.00","383.00","United States","NYSE","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,468,096,690.50","0.17","1,468,096,690.50","2,696,229.00","544.50","United States","NYSE","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","1,464,142,044.12","0.17","1,464,142,044.12","9,121,812.00","160.51","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER","Health Care","Equity","1,455,898,882.20","0.17","1,455,898,882.20","4,586,953.00","317.40","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,448,609,506.73","0.17","1,448,609,506.73","1,597,549.00","906.77","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","1,428,549,010.23","0.16","1,428,549,010.23","3,946,377.00","361.99","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1,384,539,567.41","0.16","1,384,539,567.41","19,105,003.00","72.47","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP CLASS A","Financials","Equity","1,379,490,493.20","0.16","1,379,490,493.20","4,815,816.00","286.45","United States","NASDAQ","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE","Industrials","Equity","1,355,389,554.83","0.15","1,355,389,554.83","5,317,547.00","254.89","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE","Financials","Equity","1,349,214,114.80","0.15","1,349,214,114.80","9,872,780.00","136.66","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT","Real Estate","Equity","1,346,669,026.08","0.15","1,346,669,026.08","1,310,512.00","1,027.59","United States","NASDAQ","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","1,342,836,401.86","0.15","1,342,836,401.86","5,328,293.00","252.02","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","1,339,503,293.70","0.15","1,339,503,293.70","8,276,202.00","161.85","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,319,710,821.28","0.15","1,319,710,821.28","14,981,392.00","88.09","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1,306,614,991.11","0.15","1,306,614,991.11","5,104,563.00","255.97","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,294,130,864.95","0.15","1,294,130,864.95","1,294,130,865.00","1.00","United States","-","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,292,940,184.85","0.15","1,292,940,184.85","2,937,499.00","440.15","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT","Information Technology","Equity","1,267,759,171.30","0.14","1,267,759,171.30","3,675,410.00","344.93","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","1,267,358,260.30","0.14","1,267,358,260.30","5,336,470.00","237.49","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1,262,731,450.16","0.14","1,262,731,450.16","20,629,496.00","61.21","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,247,305,771.77","0.14","1,247,305,771.77","10,360,543.00","120.39","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,246,193,183.29","0.14","1,246,193,183.29","3,373,469.00","369.41","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CLASS A","Communication","Equity","1,245,265,418.50","0.14","1,245,265,418.50","47,348,495.00","26.30","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS","Energy","Equity","1,222,741,777.40","0.14","1,222,741,777.40","16,253,380.00","75.23","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,219,195,420.43","0.14","1,219,195,420.43","1,994,137.00","611.39","United States","NYSE","USD","1.00","USD","-"
"CSX","CSX","Industrials","Equity","1,202,604,423.20","0.14","1,202,604,423.20","24,694,136.00","48.70","United States","NASDAQ","USD","1.00","USD","-"
"MRSH","MARSH","Financials","Equity","1,201,056,169.58","0.14","1,201,056,169.58","6,402,901.00","187.58","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,199,499,016.80","0.14","1,199,499,016.80","7,515,658.00","159.60","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,190,910,489.88","0.14","1,190,910,489.88","4,248,548.00","280.31","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","1,180,001,025.28","0.13","1,180,001,025.28","6,931,397.00","170.24","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,163,134,345.12","0.13","1,163,134,345.12","2,885,903.00","403.04","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","1,147,400,850.96","0.13","1,147,400,850.96","3,665,349.00","313.04","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SLB","Energy","Equity","1,135,508,263.65","0.13","1,135,508,263.65","19,868,911.00","57.15","United States","NYSE","USD","1.00","USD","-"
"DASH","DOORDASH CLASS A","Consumer Discretionary","Equity","1,134,901,006.32","0.13","1,134,901,006.32","5,029,252.00","225.66","United States","NASDAQ","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","1,129,104,865.25","0.13","1,129,104,865.25","8,108,473.00","139.25","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,126,494,016.56","0.13","1,126,494,016.56","6,184,091.00","182.16","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CLASS A","Communication","Equity","1,114,569,945.06","0.13","1,114,569,945.06","3,575,319.00","311.74","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","1,098,929,965.56","0.13","1,098,929,965.56","7,443,812.00","147.63","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS","Health Care","Equity","1,093,944,811.26","0.13","1,093,944,811.26","1,327,893.00","823.82","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","1,089,862,505.94","0.12","1,089,862,505.94","6,191,697.00","176.02","United States","NYSE","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS CLASS A","Financials","Equity","1,088,376,389.98","0.12","1,088,376,389.98","10,514,698.00","103.51","United States","NASDAQ","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","1,083,568,349.68","0.12","1,083,568,349.68","2,205,782.00","491.24","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1,079,076,414.02","0.12","1,079,076,414.02","4,910,026.00","219.77","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS","Information Technology","Equity","1,055,974,918.04","0.12","1,055,974,918.04","2,545,622.00","414.82","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","1,051,022,980.12","0.12","1,051,022,980.12","17,059,292.00","61.61","United States","NASDAQ","USD","1.00","USD","-"
"EOG","EOG RESOURCES","Energy","Equity","1,050,127,073.55","0.12","1,050,127,073.55","7,078,713.00","148.35","United States","NYSE","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES","Financials","Equity","1,028,513,615.36","0.12","1,028,513,615.36","2,826,208.00","363.92","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","1,026,089,904.16","0.12","1,026,089,904.16","11,982,832.00","85.63","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,018,581,946.02","0.12","1,018,581,946.02","9,921,897.00","102.66","United States","NYSE","USD","1.00","USD","-"
"ABNB","AIRBNB CLASS A","Consumer Discretionary","Equity","1,013,894,542.26","0.12","1,013,894,542.26","5,554,217.00","182.54","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","1,010,658,084.90","0.12","1,010,658,084.90","1,833,726.00","551.15","United States","NYSE","USD","1.00","USD","-"
